scientific_name,common_names,category,park_name,observations,conservation_status
Astragalus alpinus,Alpine Milkvetch,Vascular Plant,Great Smoky Mountains National Park,82,
Crataegus uniflora,Dwarf Hawthorn,Vascular Plant,Great Smoky Mountains National Park,91,
Streptopus lanceolatus var. roseus,Twistedstalk,Vascular Plant,Bryce National Park,99,
Lycopus asper,"Rough Bugleweed, Rough Water-Horehound",Vascular Plant,Yellowstone National Park,283,
Empidonax wrightii,Gray Flycatcher,Bird,Bryce National Park,116,
Empidonax wrightii,"Gray Flycatcher, Grey Flycatcher",Bird,Bryce National Park,116,
Symphyotrichum retroflexum,Rigid Whitetop Aster,Vascular Plant,Yosemite National Park,163,
Ericameria cuneata var. cuneata,Cliff Goldenbush,Vascular Plant,Bryce National Park,100,
Mimulus laciniatus,Cutleaf Monkeyflower,Vascular Plant,Yellowstone National Park,239,
Senecio clarkianus,Clark's Ragwort,Vascular Plant,Yosemite National Park,157,
Saccharum alopecuroidum,Beardgrass,Vascular Plant,Yosemite National Park,145,
Picoides borealis,Red-Cockaded Woodpecker,Bird,Yosemite National Park,43,Endangered
Lepidium ramosissimum,"Manybranched Pepperweed, Pepperweed",Vascular Plant,Bryce National Park,91,
Plagiomnium ciliare,Plagiomnium Moss,Nonvascular Plant,Bryce National Park,108,
Malva neglecta,"Buttonweed, Cheeseplant, Cheeseweed, Common Mallow, Dwarf Mallow, Roundleaf Mallow",Vascular Plant,Yellowstone National Park,229,
Malva neglecta,"Common Mallow, Dwarf Cheeseweed",Vascular Plant,Yellowstone National Park,229,
Amelanchier utahensis,"Utah Serviceberry, Utah Shadberry, Western Serviceberry",Vascular Plant,Great Smoky Mountains National Park,66,
Allium campanulatum,"Dusky Onion, Sierra Onion",Vascular Plant,Yellowstone National Park,234,
Carex integra,"Smoothbead Sedge, Smoothbeak Sedge",Vascular Plant,Yellowstone National Park,258,
Castilleja lacera,Cutleaf Indian Paintbrush,Vascular Plant,Yellowstone National Park,230,
Collomia heterophylla,Variableleaf Collomia,Vascular Plant,Great Smoky Mountains National Park,49,
Anemone occidentalis,White Pasqueflower,Vascular Plant,Yosemite National Park,148,
Senecio aureus,Golden Ragwort,Vascular Plant,Yosemite National Park,153,
Astragalus congdonii,Congdon's Milkvetch,Vascular Plant,Yellowstone National Park,230,
Carex,"Carex, Sedge, Sedge Species, Sedges",Vascular Plant,Bryce National Park,80,
Lysimachia hybrida,"Intermediate Loosestrife, Lance-Leaf Loosestrife",Vascular Plant,Yellowstone National Park,246,
Amaranthus albus,"Pigweed, Pigweed Amaranth, Prostrate Pigweed, Tumble Pigweed, Tumbleweed, White Pigweed",Vascular Plant,Yellowstone National Park,212,
Amaranthus albus,"White Amaranthus, White Pigweed",Vascular Plant,Yellowstone National Park,212,
Poa palustris,"Fowl Blue Grass, Fowl Bluegrass",Vascular Plant,Yosemite National Park,172,
Poa palustris,"Fowl Bluegrass, Marsh Bluegrass",Vascular Plant,Yosemite National Park,172,
Melilotus albus,"Bokhara-Clover, Honey-Clover, White Melilot, White Sweet-Clover",Vascular Plant,Bryce National Park,85,
Melilotus albus,White Sweet-Clover,Vascular Plant,Bryce National Park,85,
Quercus michauxii,Swamp Chestnut Oak,Vascular Plant,Bryce National Park,131,
Uvularia perfoliata,Perfoliate Bellwort,Vascular Plant,Great Smoky Mountains National Park,79,
Thalictrum fendleri,"Fendler's Meadowrue, Fendler's Meadow-Rue",Vascular Plant,Yosemite National Park,146,
Epilobium lactiflorum,"Broadleaf Willowweed, Milkflower Willowherb, White-Flower Willowherb",Vascular Plant,Yellowstone National Park,239,
Poecile atricapillus,Black-Capped Chickadee,Bird,Great Smoky Mountains National Park,97,
Helmitheros vermivorus,Worm-Eating Warbler,Bird,Yellowstone National Park,291,
Sequoiadendron giganteum,"Giant Redwood, Giant Sequoia, Sierra Redwood",Vascular Plant,Yosemite National Park,141,
Ditrichum pusillum,Ditrichum Moss,Nonvascular Plant,Yosemite National Park,160,
Viburnum lantana,"Way-Faring Tree, Wayfaring-Tree",Vascular Plant,Yellowstone National Park,245,
Ailanthus altissima,Tree-Of-Heaven,Vascular Plant,Bryce National Park,73,
Salix bebbiana,"Bebb's Willow, Gray Willow",Vascular Plant,Bryce National Park,86,
Townsendia parryi,"Parry's Townsend Daisy, Parry's Townsendia",Vascular Plant,Bryce National Park,70,
Corynorhinus rafinesquii,Rafinesque's Big-Eared Bat,Mammal,Yosemite National Park,188,
Nycticorax nycticorax,Black-Crowned Night Heron,Bird,Great Smoky Mountains National Park,64,Species of Concern
Nycticorax nycticorax,Black-Crowned Night-Heron,Bird,Great Smoky Mountains National Park,64,Species of Concern
Lespedeza hirta,Hairy Bush-Clover,Vascular Plant,Bryce National Park,106,
Neckera pennata,Neckera Moss,Nonvascular Plant,Bryce National Park,115,
Ageratina occidentalis,"Western Eupatorium, Western Joepyeweed, Western Snakeroot",Vascular Plant,Yellowstone National Park,246,
Baeolophus inornatus,Oak Titmouse,Bird,Bryce National Park,97,
Ribes cynosbati,Prickly Gooseberry,Vascular Plant,Yellowstone National Park,237,
Krascheninnikovia lanata,Winterfat,Vascular Plant,Yosemite National Park,151,
Rumex crispus,"Curled Dock, Curly Dock",Vascular Plant,Yellowstone National Park,256,
Rumex crispus,"Curly Dock, Narrowleaf Dock, Sour Dock, Yellow Dock",Vascular Plant,Yellowstone National Park,256,
Lonicera involucrata,"Bearberry Honeysuckle, Twinberry Honeysuckle",Vascular Plant,Yosemite National Park,129,
Pluvialis dominica,"American Golden-Plover, Lesser Golden-Plover",Bird,Bryce National Park,111,
Equisetum scirpoides,Dwarf Scouringrush,Vascular Plant,Yellowstone National Park,227,
Spizella pallida,Clay-Colored Sparrow,Bird,Yellowstone National Park,258,
Hemitremia flammea,Flame Chub,Fish,Yellowstone National Park,251,Species of Concern
Fabronia ciliaris var. polycarpa,Fabronia Moss,Nonvascular Plant,Yellowstone National Park,264,
Elymus trachycaulus ssp. subsecundus,"Bearded Wheatgrass, Slender Wheatgrass, Slender Wild Rye",Vascular Plant,Yosemite National Park,146,
Erigeron peregrinus var. hirsutus,Subalpine Fleabane,Vascular Plant,Yosemite National Park,125,
Eriogonum umbellatum var. nevadense,"Nevada Buckwheat, Sulphur-Flower Buckwheat",Vascular Plant,Great Smoky Mountains National Park,63,
Mimulus viscidus,Sticky Monkeyflower,Vascular Plant,Yosemite National Park,192,
Juncus orthophyllus,Straightleaf Rush,Vascular Plant,Great Smoky Mountains National Park,77,
Limosa fedoa,Marbled Godwit,Bird,Yellowstone National Park,266,Species of Concern
Juncus uncialis,Twelfth Rush,Vascular Plant,Great Smoky Mountains National Park,97,
Fabronia ciliaris,Fabronia Moss,Nonvascular Plant,Bryce National Park,111,
Thaspium barbinode,"Hairy-Jointed Meadow-Parsnip, Meadow-Parsnip",Vascular Plant,Great Smoky Mountains National Park,95,
Polystichum scopulinum,"Eaton's Hollyfern, Mountain Hollyfern",Vascular Plant,Great Smoky Mountains National Park,54,
Oxalis violacea,"Purple Woodsorrel, Violet Woodsorrel, Violet Wood-Sorrel",Vascular Plant,Yosemite National Park,159,
Oxalis violacea,Violet Wood-Sorrel,Vascular Plant,Yosemite National Park,159,
Comandra umbellata,Bastard Toadflax,Vascular Plant,Yosemite National Park,145,
Carex stipata,"Stalk-Grain Sedge, Stipate Sedge",Vascular Plant,Bryce National Park,101,
Ribes aureum var. aureum,Golden Currant,Vascular Plant,Yosemite National Park,139,
Allophyllum gilioides ssp. gilioides,"Dense False Gilia, Dense False Gilyflower",Vascular Plant,Great Smoky Mountains National Park,54,
Ulmus alata,Winged Elm,Vascular Plant,Yosemite National Park,144,
Mephitis mephitis,Striped Skunk,Mammal,Yellowstone National Park,257,
Rudbeckia fulgida var. fulgida,Orange Coneflower,Vascular Plant,Yosemite National Park,151,
Arnica discoidea,Rayless Arnica,Vascular Plant,Yosemite National Park,153,
Geum triflorum,"Old Man's Whiskers, Prairie Smoke, Prairiesmoke",Vascular Plant,Yellowstone National Park,234,
Draba oligosperma,"Fewseed Draba, Glacier Draba",Vascular Plant,Great Smoky Mountains National Park,34,
Cleistes divaricata,Spreading Pogonia,Vascular Plant,Yellowstone National Park,236,
Tamias quadrimaculatus,Long-Eared Chipmunk,Mammal,Yellowstone National Park,261,
Hedysarum sulphurescens,White Sweetvetch,Vascular Plant,Yosemite National Park,143,
Polypodium hesperium,Western Polypody,Vascular Plant,Great Smoky Mountains National Park,68,
Galium boreale,Northern Bedstraw,Vascular Plant,Yellowstone National Park,252,
Hosta lancifolia,Hosta,Vascular Plant,Bryce National Park,125,
Trillium catesbaei,Catesby's Trillium,Vascular Plant,Bryce National Park,94,
Larus californicus,California Gull,Bird,Yosemite National Park,136,
Rana draytonii,California Red-Legged Frog,Amphibian,Great Smoky Mountains National Park,43,Threatened
Fontinalis sullivantii,Sullivant's Fontinalis Moss,Nonvascular Plant,Bryce National Park,97,
Clematis occidentalis var. grosseserrata,Western Blue Virginsbower,Vascular Plant,Yellowstone National Park,247,
Anemone occidentalis,White Pasqueflower,Vascular Plant,Great Smoky Mountains National Park,82,
Anemone patens var. multifida,Cutleaf Anemone,Vascular Plant,Great Smoky Mountains National Park,94,
Diervilla sessilifolia,"Sessile-Leaved Bush-Honey-Suckle, Southern Bush-Honeysuckle",Vascular Plant,Great Smoky Mountains National Park,81,
Pohlia annotina,Pohlia Moss,Nonvascular Plant,Great Smoky Mountains National Park,84,
Astomum muehlenbergianum,Muehlenberg's Astomum Moss,Nonvascular Plant,Great Smoky Mountains National Park,115,
Aster patens var. patens,Late Purple Aster,Vascular Plant,Yosemite National Park,132,
Limnothlypis swainsonii,Swainson's Warbler,Bird,Great Smoky Mountains National Park,56,
Arabis repanda var. greenei,Greene's Rockcress,Vascular Plant,Great Smoky Mountains National Park,78,
Brachyelytrum septentrionale,Northern Shorthusk,Vascular Plant,Yellowstone National Park,247,
Secale cereale,"Cereal Rye, Common Rye, Cultivated Annual Rye, Cultivated Rye, Rye",Vascular Plant,Bryce National Park,134,
Secale cereale,"Cultivated Rye, Rye",Vascular Plant,Bryce National Park,134,
Packera aurea,Golden Ragwort,Vascular Plant,Great Smoky Mountains National Park,71,
Delphinium gracilentum,Pine Forest Larkspur,Vascular Plant,Great Smoky Mountains National Park,75,
Carex debilis var. interjecta,Necklace Sedge,Vascular Plant,Yellowstone National Park,239,
Myriophyllum sibiricum,"American Watermilfoil, Shortspike Watermilfoil, Siberian Water-Milfoil",Vascular Plant,Yosemite National Park,176,
Eriophyllum nubigenum,Yosemite Woolly Sunflower,Vascular Plant,Yosemite National Park,118,Species of Concern
Cryptantha ambigua,"Basin Cryptantha, Wickes Cryptantha, Wilkes Cryptantha",Vascular Plant,Yosemite National Park,159,
Epilobium glaberrimum ssp. glaberrimum,"Glaucus Willowherb, Smooth Willowweed",Vascular Plant,Great Smoky Mountains National Park,72,
Sorbus sitchensis var. grayi,Western Mountain-Ash,Vascular Plant,Yosemite National Park,153,
Plantago major,"Broadleaf Plantain, Buckhorn Plantain, Common Plantain, Great Plantain, Rippleseed Plantain",Vascular Plant,Great Smoky Mountains National Park,90,
Plantago major,"Nipple-Seed Plantain, Plantain",Vascular Plant,Great Smoky Mountains National Park,90,
Valeriana occidentalis,"Small-Flower Valerian, Western Valerian, Western Valeriana",Vascular Plant,Yosemite National Park,154,
Mimulus moschatus,"Musk Monkeyflower, Muskflower",Vascular Plant,Yosemite National Park,139,
Orthocarpus luteus,"Golden-Tongue Owl-Clover, Yellow Owlclover, Yellow Owl's-Clover",Vascular Plant,Bryce National Park,78,
Hoita macrostachya,Large Leather-Root,Vascular Plant,Yellowstone National Park,263,
Polytrichum piliferum,Polytrichum Moss,Nonvascular Plant,Bryce National Park,110,
Notropis volucellus,Mimic Shiner,Fish,Bryce National Park,69,
Poa sylvestris,Woodland Bluegrass,Vascular Plant,Yosemite National Park,115,
Artemisia vulgaris,"Common Mugwort, Common Wormwood",Vascular Plant,Great Smoky Mountains National Park,86,
Smilax tamnoides,"Bristly Greenbrier, Hispid Greenbrier",Vascular Plant,Yosemite National Park,132,
Erigeron compactus,"Cushion Daisy, Fernleaf Fleabane, Fern-Leaf Fleabane",Vascular Plant,Yosemite National Park,148,
Clarkia purpurea ssp. viminea,Winecup Clarkia,Vascular Plant,Yosemite National Park,157,
Carex stipata var. stipata,Owlfruit Sedge,Vascular Plant,Yosemite National Park,174,
Tortella humilis,Tortella Moss,Nonvascular Plant,Bryce National Park,54,
Elodea nuttallii,Waterweed,Vascular Plant,Bryce National Park,120,
Elodea nuttallii,Western Waterweed,Vascular Plant,Bryce National Park,120,
Liriodendron tulipifera,"Tulip Tree, Tuliptree, Yellow Poplar",Vascular Plant,Yosemite National Park,148,
Sanicula bipinnatifida,Purple Sanicle,Vascular Plant,Bryce National Park,105,
Silene antirrhina,"Catchfly, Sleepy Campion, Sleepy Catchfly, Sleepy Silene",Vascular Plant,Yosemite National Park,163,
Silene antirrhina,Sleepy Catchfly,Vascular Plant,Yosemite National Park,163,
Packera werneriifolia,Hoary Groundsel,Vascular Plant,Great Smoky Mountains National Park,45,
Pinicola enucleator,Pine Grosbeak,Bird,Yosemite National Park,149,
Potamogeton strictifolius,"Narrowleaf Pondweed, Straight-Leaf Pondweed",Vascular Plant,Great Smoky Mountains National Park,58,
Desmognathus wrighti,Pigmy Salamander,Amphibian,Yellowstone National Park,201,Species of Concern
Bryum lisae,Bryum Moss,Nonvascular Plant,Bryce National Park,155,
Holosteum umbellatum,Jagged Chickweed,Vascular Plant,Yosemite National Park,142,
Lolium arundinaceum,Tall Fescue,Vascular Plant,Yellowstone National Park,247,
Carex aggregata,Glomerate Sedge,Vascular Plant,Yellowstone National Park,279,
Anthus rubescens,American Pipit,Bird,Yosemite National Park,177,
Anthus rubescens,Water Pipit,Bird,Yosemite National Park,177,
Cirsium undulatum,"Gray Thistle, Wavyleaf Thistle, Wavy-Leaf Thistle",Vascular Plant,Great Smoky Mountains National Park,84,
Helenium flexuosum,"Dark-Eyed Sneezeweed, Purple-Head Sneezeweed",Vascular Plant,Yosemite National Park,133,
Aythya affinis,Lesser Scaup,Bird,Great Smoky Mountains National Park,115,Species of Concern
Limosa fedoa,Marbled Godwit,Bird,Yosemite National Park,131,Species of Concern
Tipularia discolor,"Cranefly Orchid, Crippled Cranefly",Vascular Plant,Bryce National Park,57,
Arenaria aculeata,"Prickly Sandwort, Spiny Sandwort",Vascular Plant,Great Smoky Mountains National Park,68,
Juncus diffusissimus,"Diffuse Rush, Slimpod Rush",Vascular Plant,Yellowstone National Park,245,
Lutra canadensis,Northern River Otter,Mammal,Bryce National Park,127,
Lutra canadensis,River Otter,Mammal,Bryce National Park,127,
Phalaris arundinacea,Reed Canary Grass,Vascular Plant,Yellowstone National Park,201,
Phalaris arundinacea,"Reed Canary Grass, Reed Canarygrass",Vascular Plant,Yellowstone National Park,201,
Antennaria argentea,"Silver Pussytoes, Silvery Pussytoes",Vascular Plant,Yellowstone National Park,249,
Sorex monticolus,Dusky Shrew,Mammal,Yellowstone National Park,252,
Sorex monticolus,Montane Shrew,Mammal,Yellowstone National Park,252,
Mimus polyglottos,"Mockingbird, Northern Mockingbird",Bird,Great Smoky Mountains National Park,116,
Mimus polyglottos,Northern Mockingbird,Bird,Great Smoky Mountains National Park,116,
Panicum gattingeri,"Gattinger Panic Grass, Panic Grass",Vascular Plant,Great Smoky Mountains National Park,94,
Orobanche uniflora,"Naked Broomrape, Naked Broom-Rape, Oneflowered Broomrape",Vascular Plant,Bryce National Park,92,
Orobanche uniflora,"Naked Broomrape, One-Flowered Cancer-Root",Vascular Plant,Bryce National Park,92,
Nycticeius humeralis,Evening Bat,Mammal,Yellowstone National Park,219,
Zonotrichia leucophrys,White-Crowned Sparrow,Bird,Yosemite National Park,123,
Rhododendron maximum,"Great Laurel, Rosebay Rhododendron",Vascular Plant,Yellowstone National Park,238,
Oxalis montana,"White Wood-Sorrel, Wood-Sorrel",Vascular Plant,Yosemite National Park,161,
Salvelinus namaycush,Lake Trout,Fish,Bryce National Park,76,
Bryum lisae var. cuspidatum,Bryum Moss,Nonvascular Plant,Yellowstone National Park,228,
Mimulus angustatus,Purplelip Pansy Monkeyflower,Vascular Plant,Great Smoky Mountains National Park,52,
Thermopsis montana,Mountain Goldenbanner,Vascular Plant,Yellowstone National Park,261,
Eleocharis palustris,"Common Spikerush, Creeping Spikerush, Creeping Spike-Rush, Marsh Spike-Rush, Spikesedge",Vascular Plant,Yellowstone National Park,242,
Eleocharis palustris,Spike-Rush,Vascular Plant,Yellowstone National Park,242,
Oxalis corniculata,"Creeping Oxalis, Creeping Woodsorrel, 'Ihi, Yellow Oxalis, Yellow Wood Sorrel",Vascular Plant,Bryce National Park,92,
Oxalis corniculata,Creeping Woodsorrel,Vascular Plant,Bryce National Park,92,
Hypericum mitchellianum,"Blue Ridge St. John's-Wort, Mitchell's St.John's-Wort",Vascular Plant,Yellowstone National Park,276,
Senecio fremontii var. fremontii,Dwarf Mountain Ragwort,Vascular Plant,Yosemite National Park,114,
Rudbeckia laciniata var. humilis,Coneflower,Vascular Plant,Yosemite National Park,152,
Nucifraga columbiana,Clark's Nutcracker,Bird,Bryce National Park,117,
Contopus cooperi,Olive-Sided Flycatcher,Bird,Bryce National Park,130,Species of Concern
Carex tahoensis,Tahoe Sedge,Vascular Plant,Bryce National Park,124,
Bryoandersonia illecebra,Bryoandersonia Moss,Nonvascular Plant,Bryce National Park,93,
Polygonatum biflorum var. biflorum,"King Solomon's Seal, Smooth Solomon's Seal",Vascular Plant,Bryce National Park,67,
